combination,outcome,model,fold_group,n_train_rows,n_test_rows,test_categories,model_failed,model_reason,roc_auc_ovr_macro,balanced_accuracy,macro_f1,log_loss
M0,q2,logistic,P-8016036889,2120,60,"1,2,3",False,,0.7210510100088644,0.3333333333333333,0.19607843137254902,1.5161510279799997
M0,q2,logistic,P-80904DAF11,2160,20,"2,3,4",False,,0.7033810487757856,0.3333333333333333,0.25,0.8653736534121705
M0,q2,logistic,P-826248DDD8,2140,40,"3,4",False,,0.677115987460815,0.5,0.21568627450980393,0.8873868043974218
M0,q2,logistic,P-8405CEC183,2160,20,3,False,,,0.9,0.47368421052631576,0.8057884870597908
M0,q2,logistic,P-8EB079D859,2160,20,"3,4",False,,0.5784313725490197,0.5,0.13043478260869565,0.9837471557446198
M0,q2,logistic,P-8EB2F3E5EB,2140,40,"2,3",False,,0.8055555555555556,0.4027777777777778,0.2801932367149758,0.8867084110174751
M0,q2,logistic,P-90ADD44D40,2160,20,"1,2,3,4",False,,0.5120254255548373,0.25,0.14,2.081209997029997
M0,q2,logistic,P-942BF8DF1B,2120,60,"1,3,4",False,,0.5745282239483845,0.3333333333333333,0.1728395061728395,1.0411705732116494
M0,q2,logistic,P-95F33174C1,2120,60,"3,4",False,,0.5033370411568409,0.5172413793103449,0.37777777777777777,0.8279447491514695
M0,q2,logistic,P-9EF7F8A151,2160,20,"3,4",False,,0.13157894736842105,0.5,0.047619047619047616,1.1049060762023406
M0,q2,logistic,P-AE146C9DF8,2140,40,4,False,,,0.0,0.0,0.9768023287967914
M0,q2,logistic,P-AE42FA6330,2160,20,"2,3,4",False,,0.5265969410706253,0.3333333333333333,0.1728395061728395,1.5651741857476866
M0,q2,logistic,P-AF79D1DE3B,2160,20,"2,3,4",False,,0.3415750915750915,0.2683982683982684,0.1865079365079365,1.0424427249855688
M0,q2,logistic,P-B561FC8AA0,2160,20,"3,4",False,,0.625,0.5,0.09090909090909091,0.943346518696573
M0,q2,logistic,P-B687D84AC3,2160,20,"3,4",False,,0.6130952380952381,0.5,0.4117647058823529,0.7881759599954729
M0,q2,logistic,P-BAAF612E97,2160,20,"2,3",False,,0.6822916666666667,0.4166666666666667,0.2222222222222222,1.2014041421606094
M0,q2,logistic,P-BABD47FD2A,2140,40,"2,3,4",False,,0.64466933440249,0.44246031746031744,0.39194139194139194,1.1791549189403245
M0,q2,logistic,P-BD38D55D80,2120,60,"2,3,4",False,,0.6141118286216325,0.3333333333333333,0.13333333333333333,1.087014610087691
M0,q2,logistic,P-BD4404A67C,2120,60,"1,2,3,4",False,,0.6922798315092511,0.2651888341543514,0.20445736434108527,1.0509842196470613
M0,q2,logistic,P-C27F41C52B,2120,60,"3,4",False,,0.5802310654685494,0.5263157894736842,0.45999999999999996,0.7994444827506458
M0,q2,logistic,P-C783B3EE0A,2140,40,4,False,,,0.0,0.0,1.019632848136456
M0,q2,logistic,P-CB0D54D7B6,2160,20,"2,3,4",False,,0.7069998227892965,0.3666666666666667,0.2748917748917749,0.9011042184740825
M0,q2,logistic,P-CE34173F77,2160,20,"3,4",False,,0.5234375,0.5,0.16666666666666666,0.9505743115723456
M0,q2,logistic,P-D7469723BB,2160,20,"2,3,4",False,,0.612196526670211,0.3333333333333333,0.23655913978494625,1.3427157197979045
M0,q2,logistic,P-ECFB6C2EB9,2160,20,"3,4",False,,0.635,0.5,0.3333333333333333,0.8854171653422297
M0,q2,logistic,P-EDDA35F3C7,2160,20,"1,2,3",False,,0.6099916457811195,0.35714285714285715,0.18333333333333335,1.6943136657098399
M0,q2,logistic,P-EFFF04CC6B,2140,40,"3,4",False,,0.43898809523809523,0.48214285714285715,0.40298507462686567,0.8344845684617649
M0,q2,logistic,P-F3CCAA8842,2120,60,"2,3,4",False,,0.6615557607350283,0.42857142857142855,0.182214948172395,1.2323286326936291
M0,q2,logistic,P-FE9CDC44BE,2140,40,"2,3",False,,0.8918918918918919,0.4189189189189189,0.29107981220657275,0.860269410198477
M0,q2,random_forest,P-001F33A876,2120,60,"2,3,4",False,,0.417038724960021,0.26990553306342785,0.2354048964218456,1.0648789909572214
M0,q2,random_forest,P-07BDD08C0C,2120,60,"2,3,4",False,,0.5024104437229439,0.2727272727272727,0.24775985663082437,1.1046531779085043
M0,q2,random_forest,P-100AE58C58,2160,20,4,False,,,0.4,0.2857142857142857,0.87989567729022
M0,q2,random_forest,P-11AD0DCE87,2140,40,"2,3",False,,0.5384615384615384,0.358974358974359,0.2745098039215686,0.7328680228094698
M0,q2,random_forest,P-12AD0E59EB,2160,20,4,False,,,0.25,0.13333333333333333,1.1581508097225324
M0,q2,random_forest,P-18A2FC7D4E,2120,60,"2,3",False,,0.6475,0.275,0.1286549707602339,1.6649753667380465
M0,q2,random_forest,P-1A38BC21DA,2120,60,"3,4",False,,0.6145454545454546,0.5545454545454546,0.3179830953074905,1.0855867116099982
