outcome,model,modality,metric,mean_marginal,base_value_M0,full_value_M7,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,n_permutations_defined
q2,logistic,rgb,macro_f1,0.012229146862994936,0.2300604014357364,0.26480450171594583,0.00043832887361366923,0.030759944228203412,0.00043832887361366923,-0.0026919249881367513,0.022215102095337808,0.022215102095337808,6
q2,random_forest,nir,macro_f1,-0.0058013052903078954,0.2687145661287813,0.23368284249568572,0.001470231423049806,0.001470231423049806,-0.018408959196574787,-0.01569398758296922,0.012048639774566244,-0.01569398758296922,6
q2,random_forest,mmwave,macro_f1,-0.01081692299181121,0.2687145661287813,0.23368284249568572,-0.02110077341007685,-0.023033408772473785,-0.001221582790452258,-0.001221582790452258,-0.023033408772473785,0.004709218585061681,6
q2,random_forest,rgb,macro_f1,-0.018413495350976486,0.2687145661287813,0.23368284249568572,-0.015401181646068546,-0.013468546283671612,-0.015401181646068546,-0.01811615325967411,-0.02404695463518805,-0.02404695463518805,6
q1,logistic,nir,log_loss,-0.010868029264074097,0.9431593081968587,0.981374984878352,-0.0019401072322506874,-0.0019401072322506874,-0.0005239372378449403,-0.018668738363776916,-0.023466547154544437,-0.018668738363776916,6
q1,logistic,mmwave,log_loss,-0.010445655300878653,0.9431593081968587,0.981374984878352,-0.013782157032964704,-0.004565770642266265,-0.01519832702737045,-0.01519832702737045,-0.004565770642266265,-0.009363579433033786,6
q1,logistic,rgb,log_loss,-0.016901992116540532,0.9431593081968587,0.981374984878352,-0.02249341241627789,-0.03170979880697633,-0.02249341241627789,-0.004348611290345916,-0.01018335888468258,-0.01018335888468258,6
q1,random_forest,nir,log_loss,0.017927203105985372,1.006534611845604,0.9302306858103409,0.04224236410169224,0.04224236410169224,0.016598663876727815,0.0023648819001768073,0.0017500627554463133,0.0023648819001768073,6
q1,random_forest,mmwave,log_loss,0.01925001883487552,1.006534611845604,0.9302306858103409,0.016916288118360212,0.0046928891163247055,0.04255998834332464,0.04255998834332464,0.0046928891163247055,0.0040780699715942115,6
q1,random_forest,rgb,log_loss,0.039126704094402255,1.006534611845604,0.9302306858103409,0.017145273815210693,0.0293686728172462,0.017145273815210693,0.0313790557917617,0.06986097416349213,0.06986097416349213,6
q2,logistic,nir,log_loss,-0.0075673151604541316,1.0996790454443761,1.1277274606759244,-0.006225367313041685,-0.006225367313041685,-0.006161880236900563,-0.007765702031012456,-0.011259872037715946,-0.007765702031012456,6
q2,logistic,mmwave,log_loss,-0.012399569657958484,1.0996790454443761,1.1277274606759244,0.002013103675178707,-0.02560519493810043,0.0019496165990375847,0.0019496165990375847,-0.02560519493810043,-0.029099364944803918,6
q2,logistic,rgb,log_loss,-0.008081530413135715,1.0996790454443761,1.1277274606759244,-0.02383615159368535,0.0037821470195937845,-0.02383615159368535,-0.022232329799573458,0.008816651744268045,0.008816651744268045,6
q2,random_forest,nir,log_loss,0.017098758791611712,1.1564508651520082,1.1154775645726782,0.02623997361564334,0.02623997361564334,0.031445797831310074,0.008290392500445165,0.0020860226861831865,0.008290392500445165,6
q2,random_forest,mmwave,log_loss,0.006733044996403259,1.1564508651520082,1.1154775645726782,0.006388465816664857,0.012616296924673476,0.0011826416009981244,0.0011826416009981244,0.012616296924673476,0.006411927110411497,6
q2,random_forest,rgb,log_loss,0.017141496791315047,1.1564508651520082,1.1154775645726782,0.00834486114702182,0.0021170300390132013,0.00834486114702182,0.03150026647788673,0.026270980968473356,0.026270980968473356,6
