model_name,model_family,outcome,metric,pupil_term,estimate,se,ci_low,ci_high,p_value_not_for_endpoint_selection,n_rows,participant_group_n,session_n,block_n,predictor_standardization,status
block_go_correct_rt_median_ms__hard_pupil_fraction,LMM,go_correct_rt_median_ms,hard_pupil_fraction,pupil_between,5.707228236165161,11.700588623407246,-17.22592546571304,28.64038193804336,0.6257108182915296,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__hard_pupil_fraction,LMM,go_correct_rt_sd_ms,hard_pupil_fraction,pupil_within,-0.5461957150527116,2.526514204416322,-5.498163555708702,4.40577212560328,0.828843162264927,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__hard_pupil_fraction,LMM,go_correct_rt_sd_ms,hard_pupil_fraction,pupil_between,-0.9500350326209326,6.886401959179646,-14.447382872613039,12.547312807371172,0.8902735204205047,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_cv__hard_pupil_fraction,LMM,go_correct_rt_cv,hard_pupil_fraction,pupil_within,0.005412442387175677,0.00573823467923255,-0.00583449758412012,0.016659382358471475,0.34556618666557526,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_cv__hard_pupil_fraction,LMM,go_correct_rt_cv,hard_pupil_fraction,pupil_between,-0.007757430550704428,0.015127139991904565,-0.037406624934837374,0.02189176383342852,0.6080804467907007,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_theilsen_slope_ms_per_s__hard_pupil_fraction,LMM,go_correct_rt_theilsen_slope_ms_per_s,hard_pupil_fraction,pupil_within,0.005703518588023361,0.0070935961872462296,-0.00819992993897925,0.01960696711502597,0.42137521681118495,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_theilsen_slope_ms_per_s__hard_pupil_fraction,LMM,go_correct_rt_theilsen_slope_ms_per_s,hard_pupil_fraction,pupil_between,0.022275011279838785,0.008635466862352668,0.005349496229627555,0.039200526330050015,0.009894928042699393,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_omission_rate__hard_pupil_fraction,GEE_binomial_exchangeable,omission_rate,hard_pupil_fraction,pupil_within,-3.128168504363782e-05,0.017002937807625632,-0.03335703978798988,0.0332944764179026,0.9985320678264935,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_omission_rate__hard_pupil_fraction,GEE_binomial_exchangeable,omission_rate,hard_pupil_fraction,pupil_between,0.13389655163619624,0.2547184439732497,-0.3653515985513732,0.6331447018237657,0.5991210383407453,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_commission_rate__hard_pupil_fraction,GEE_binomial_exchangeable,commission_rate,hard_pupil_fraction,pupil_within,0.08048491346857757,0.037134005483920464,0.0077022627200934585,0.15326756421706167,0.030202992766767783,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_commission_rate__hard_pupil_fraction,GEE_binomial_exchangeable,commission_rate,hard_pupil_fraction,pupil_between,0.008663240600187264,0.10871683674570752,-0.20442175942139945,0.221748240621774,0.9364867694814839,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
