session_id,block_num,binocular_raw_median,bbox_scale_px,outer_eye_px,inner_canthus_px,rotation_mag,translation_mag
sub-071,1,27.55921212958928,256.82143402099587,116.50280269469465,49.542828511592376,0.10715448735570471,4.502456160511763
sub-071,2,16.396975154870272,256.96490478515443,117.77570460479738,49.94118500513392,0.11053387595808707,4.502419313137258
sub-072,1,40.97745300558094,272.876953125,107.08156753425632,43.52656714830235,0.0459118326403309,5.0053996116218205
sub-072,2,40.49297920447593,273.2575531005851,106.33999712859976,43.25787695931811,0.044081688246996986,5.036089126012504
sub-073,1,39.30553112742884,275.7782287597639,105.04900657822701,43.890482900906974,0.0876690083838838,5.068769840752568
sub-073,2,40.13121896111625,268.919677734375,103.54927132712837,43.54950245944728,0.09157852826748067,5.006102423585235
sub-074,1,37.72316146820455,308.30319213867034,116.63345051635396,47.902499603678045,0.10425576532096982,5.192092155570684
sub-074,2,36.94594160503456,307.65687561035077,117.38913902260819,47.49455058834698,0.13829785263412533,5.129300351483419
sub-075,1,35.957879837572214,254.71141815185524,99.31218243044667,41.711361142209704,0.025775775759982904,5.004285453898623
sub-075,2,43.13211334068437,260.71794128417923,101.79229696165231,42.520348223539635,0.03853266928874996,4.973830211114382
sub-076,1,31.882721656352597,272.512939453125,107.73479122694538,44.66292295413684,0.09237763272375898,4.972871320258311
sub-076,2,31.50693671841184,288.2937469482418,109.68537192068855,45.92615920709931,0.11048154960633404,5.067550719620861
sub-077,1,40.45767496751934,283.0400390625,118.1605040459264,51.34621280358579,0.04542688861336627,4.7550344203806505
sub-077,2,52.80702432699648,273.11627197265625,115.19956759566998,50.41483974028526,0.047920219155371514,4.692933599039711
sub-078,1,31.697797923109484,269.15280151367017,107.17982693631569,45.68101965476781,0.07587403977743325,4.847765748499471
sub-078,2,30.57394601735344,271.12713623046875,107.31361246971292,45.87530517578125,0.0676745305902205,4.879029449980625
sub-081,1,34.22378167570804,271.93402099609375,103.41535406220412,43.20697021484375,0.11772857364615724,5.101405425559886
